,avg_salary
0,72.0
1,87.5
2,85.0
3,76.5
4,114.5
5,95.0
6,73.5
7,114.0
8,61.0
9,140.0
10,163.5
11,85.0
12,139.0
13,65.5
14,113.5
15,146.0
16,102.0
17,153.5
18,142.5
19,87.5
20,105.5
21,96.0
22,112.5
23,84.0
24,143.0
25,86.5
26,99.5
27,47.5
28,84.0
29,85.0
30,76.5
31,96.0
32,114.5
33,121.0
34,112.5
35,106.0
36,107.0
37,110.0
38,147.5
39,106.0
40,88.0
41,98.5
42,142.5
43,82.5
44,130.0
45,155.0
46,184.5
47,29.5
48,86.5
49,81.0
50,91.0
51,114.5
52,68.0
53,115.0
54,109.5
55,75.5
56,154.5
57,143.5
58,73.5
59,95.0
60,107.0
61,115.0
62,139.5
63,67.0
64,85.0
65,118.0
66,79.5
67,56.5
68,128.5
69,97.5
70,66.5
71,179.5
72,76.0
73,112.0
74,98.0
75,128.0
76,150.5
77,87.5
78,110.0
79,113.5
80,124.0
81,56.5
82,130.0
83,77.5
84,87.0
85,53.5
86,139.0
87,114.0
88,85.5
89,48.0
90,48.0
91,174.0
92,85.0
93,106.5
94,72.5
95,85.5
96,97.5
97,99.0
98,56.5
99,133.0
100,121.0
101,85.5
102,87.5
103,237.5
104,95.5
105,104.5
106,56.5
107,55.0
108,61.5
109,157.0
110,78.0
111,113.5
112,140.0
113,132.5
114,108.0
115,80.5
116,107.5
117,95.0
118,119.5
119,134.0
120,100.5
121,107.5
122,122.0
123,92.5
124,62.0
125,39.5
126,107.5
127,40.5
128,89.5
129,81.0
130,147.0
131,85.0
132,81.5
133,168.0
134,100.5
135,97.0
136,85.0
137,153.5
138,132.5
139,100.0
140,105.0
141,87.0
142,103.5
143,124.0
144,67.0
145,87.0
146,137.5
147,100.0
148,106.5
149,98.5
150,61.0
151,106.5
152,84.5
153,109.5
154,164.0
155,169.0
156,142.0
157,76.5
158,107.0
159,171.5
160,96.0
161,142.5
162,107.0
163,145.0
164,61.5
165,20.5
166,120.0
167,62.0
168,150.5
169,87.5
170,71.5
171,51.5
172,151.5
173,77.5
174,140.0
175,98.5
176,225.0
177,27.5
